referencia,nombre,familia,unidad,precio_tarifa,iva,atributos
0010030540,aroTHERM Split 12 uniTOWER sensoCOMFORT inalámbrico,bomba_calor,ud,13655.00,21,"{""potencia_kw"": 12.0, ""control"": ""inalambrico""}"
0010030547,aroTHERM Split 12 uniTOWER sensoCOMFORT cableado,bomba_calor,ud,13565.00,21,"{""potencia_kw"": 12.0, ""control"": ""cableado""}"
0010030541,aroTHERM Split 12 uniTOWER sensoCOMFORT inalámbrico 400V,bomba_calor,ud,14100.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0010030548,aroTHERM Split 12 uniTOWER sensoCOMFORT cableado 400V,bomba_calor,ud,14010.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""cableado""}"
8000036636,aroTHERM Split plus 4 uniTOWER sensoCOMFORT inalámbrico dos circ.,bomba_calor,ud,12300.00,21,"{""potencia_kw"": 4.0, ""control"": ""inalambrico""}"
8000036639,aroTHERM Split plus 4 uniTOWER sensoCOMFORT cableado dos circ.,bomba_calor,ud,12210.00,21,"{""potencia_kw"": 4.0, ""control"": ""cableado""}"
8000036637,aroTHERM Split plus 6 uniTOWER sensoCOMFORT inalámbrico dos circ.,bomba_calor,ud,12710.00,21,"{""potencia_kw"": 6.0, ""control"": ""inalambrico""}"
8000036640,aroTHERM Split plus 6 uniTOWER sensoCOMFORT cableado dos circ.,bomba_calor,ud,12620.00,21,"{""potencia_kw"": 6.0, ""control"": ""cableado""}"
8000036638,aroTHERM Split plus 8 uniTOWER sensoCOMFORT inalámbrico dos circ.,bomba_calor,ud,13295.00,21,"{""potencia_kw"": 8.0, ""control"": ""inalambrico""}"
8000037097,aroTHERM Split plus 8 uniTOWER sensoCOMFORT cableado dos circ.,bomba_calor,ud,13205.00,21,"{""potencia_kw"": 8.0, ""control"": ""cableado""}"
8000037099,aroTHERM Split plus 4 sensoCOMFORT inalámbrico 230V,bomba_calor,ud,8290.00,21,"{""potencia_kw"": 4.0, ""control"": ""inalambrico""}"
8000037112,aroTHERM Split plus 4 sensoCOMFORT cableado 230V,bomba_calor,ud,8200.00,21,"{""potencia_kw"": 4.0, ""control"": ""cableado""}"
8000037100,aroTHERM Split plus 6 sensoCOMFORT inalámbrico 230V,bomba_calor,ud,8700.00,21,"{""potencia_kw"": 6.0, ""control"": ""inalambrico""}"
8000037113,aroTHERM Split plus 6 sensoCOMFORT cableado 230V,bomba_calor,ud,8610.00,21,"{""potencia_kw"": 6.0, ""control"": ""cableado""}"
8000037111,aroTHERM Split plus 8 sensoCOMFORT inalámbrico 230V,bomba_calor,ud,9265.00,21,"{""potencia_kw"": 8.0, ""control"": ""inalambrico""}"
8000037114,aroTHERM Split plus 8 sensoCOMFORT cableado 230V,bomba_calor,ud,9175.00,21,"{""potencia_kw"": 8.0, ""control"": ""cableado""}"
0010030526,aroTHERM Split 12 sensoCOMFORT inalámbrico 230V,bomba_calor,ud,11520.00,21,"{""potencia_kw"": 12.0, ""control"": ""inalambrico""}"
0010030533,aroTHERM Split 12 sensoCOMFORT cableado 230V,bomba_calor,ud,11430.00,21,"{""potencia_kw"": 12.0, ""control"": ""cableado""}"
0010030527,aroTHERM Split 12 sensoCOMFORT inalámbrico 400V,bomba_calor,ud,11965.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""inalambrico""}"
0010030534,aroTHERM Split 12 sensoCOMFORT cableado 400V,bomba_calor,ud,11875.00,21,"{""potencia_kw"": 12.0, ""trifasica"": true, ""control"": ""cableado""}"
8000037115,aroTHERM Split plus 4 230V sensoCOMFORT inalámbrico ACS (200 l),bomba_calor,ud,10205.00,21,"{""potencia_kw"": 4.0, ""control"": ""inalambrico""}"
8000037118,aroTHERM Split plus 4 230V sensoCOMFORT cableado ACS (200 l),bomba_calor,ud,10115.00,21,"{""potencia_kw"": 4.0, ""control"": ""cableado""}"
8000037116,aroTHERM Split plus 6 230V sensoCOMFORT inalámbrico ACS (200 l),bomba_calor,ud,10615.00,21,"{""potencia_kw"": 6.0, ""control"": ""inalambrico""}"
8000037119,aroTHERM Split plus 6 230V sensoCOMFORT cableado ACS (200 l),bomba_calor,ud,10525.00,21,"{""potencia_kw"": 6.0, ""control"": ""cableado""}"
8000037117,aroTHERM Split plus 8 230V sensoCOMFORT inalámbrico ACS (200 l),bomba_calor,ud,11180.00,21,"{""potencia_kw"": 8.0, ""control"": ""inalambrico""}"
8000037120,aroTHERM Split plus 8 230V sensoCOMFORT cableado ACS (200 l),bomba_calor,ud,11090.00,21,"{""potencia_kw"": 8.0, ""control"": ""cableado""}"
0010030559,aroTHERM Split 12 230V sensoCOMFORT inalámbrico ACS (200 l),bomba_calor,ud,13435.00,21,"{""potencia_kw"": 12.0, ""control"": ""inalambrico""}"
